iter	Logloss
0	0.6795944692
1	0.6666463796
2	0.6544589399
3	0.6444250036
4	0.634058475
5	0.6239779365
6	0.6134873668
7	0.6061715527
8	0.5971194536
9	0.5897728032
10	0.5821074715
11	0.574308245
12	0.5666334654
13	0.5599810971
14	0.552927682
15	0.5471704959
16	0.5407782081
17	0.5354065347
18	0.5304913788
19	0.5252792779
20	0.5205348233
21	0.5161248739
22	0.5115045763
23	0.5086058411
24	0.5040602
25	0.5000705991
26	0.4961744347
27	0.4921483749
28	0.4890015576
29	0.4860377878
30	0.4831097232
31	0.4799558344
32	0.4771028901
33	0.474999119
34	0.4721337126
35	0.4694167497
36	0.4666544017
37	0.464238789
38	0.4618561574
39	0.4595875971
40	0.4574107345
41	0.4555584073
42	0.4536666073
43	0.4519149041
44	0.4500316537
45	0.4482653438
46	0.4468119477
47	0.4450321324
48	0.4431908183
49	0.4424129533
50	0.4410365323
51	0.4394349825
52	0.438024885
53	0.4366607231
54	0.4352904462
55	0.4338534827
56	0.4328085817
57	0.431753827
58	0.430686813
59	0.4297281901
60	0.4287043877
61	0.4275216504
62	0.4264770102
63	0.425532994
64	0.4246365945
65	0.4238207927
66	0.4227625891
67	0.42189862
68	0.4210494604
69	0.4202690161
70	0.4194955563
71	0.4186447158
72	0.4179898486
73	0.4169382818
74	0.4161870509
75	0.4155901758
76	0.414678474
77	0.4141167245
78	0.4134485837
79	0.4128110474
80	0.4122203454
81	0.4115591022
82	0.410896323
83	0.4100975334
84	0.409557549
85	0.4090227814
86	0.4085977379
87	0.4081318304
88	0.4075095964
89	0.4067218777
90	0.406303442
91	0.4058464029
92	0.4053143015
93	0.4048662466
94	0.4044140184
95	0.4038728459
96	0.4034190816
97	0.4029828223
98	0.4025293479
99	0.4022084061
100	0.4017573952
101	0.4014083413
102	0.4008621549
103	0.4003133312
104	0.400010358
105	0.3995948205
106	0.3991988455
107	0.3987797722
108	0.3981922581
109	0.3977260608
110	0.3973315638
111	0.396863106
112	0.3964582336
113	0.396176475
114	0.3959572005
115	0.3956791804
116	0.3953209974
117	0.3949316882
118	0.3945722299
119	0.3941592428
120	0.3938925255
121	0.3934967824
122	0.3932202983
123	0.3929562184
124	0.3926413338
125	0.3922883384
126	0.3919467908
127	0.3916434408
128	0.3912058483
129	0.3909239447
130	0.3906145666
131	0.3903481682
132	0.3899244578
133	0.3896592766
134	0.3892444926
135	0.3889345059
136	0.3887726729
137	0.3885009418
138	0.3882426871
139	0.387939685
140	0.3875525783
141	0.3871969747
142	0.3869275331
143	0.386693652
144	0.3864113716
145	0.3860680561
146	0.3858051644
147	0.3855192614
148	0.3852430092
149	0.3850338783
150	0.3848861013
151	0.3845331929
152	0.3841727783
153	0.3840361592
154	0.383879398
155	0.3836697744
156	0.3834031441
157	0.383167553
158	0.3829671166
159	0.3827014427
160	0.3824356818
161	0.3822180883
162	0.3819948144
163	0.3817343282
164	0.3815430789
165	0.381272623
166	0.380980344
167	0.3807534764
168	0.3806531422
169	0.3805024382
170	0.380394221
171	0.3801474141
172	0.3799459923
173	0.3796788403
174	0.379465652
175	0.3793017903
176	0.3790515635
177	0.3788659077
178	0.3787303899
179	0.3785062466
180	0.3782647433
181	0.3780171538
182	0.3778137033
183	0.3776283663
184	0.3774201918
185	0.3771014236
186	0.3769151012
187	0.3767538478
188	0.3765914352
189	0.376349671
190	0.3761685363
191	0.375988271
192	0.375760534
193	0.3754708344
194	0.3752024072
195	0.3751017253
196	0.3749305602
197	0.374790985
198	0.3746581336
199	0.3744330918
200	0.3742900098
201	0.3740505353
202	0.3739584319
203	0.3736546762
204	0.3733709468
205	0.3731402536
206	0.3728380339
207	0.3725796923
208	0.3724059189
209	0.372358621
210	0.3722027292
211	0.3720414759
212	0.371961168
213	0.3716953491
214	0.3714823057
215	0.3712735226
216	0.3710367723
217	0.3708522467
218	0.3706640695
219	0.3705746324
220	0.3704537793
221	0.3703150156
222	0.3701879025
223	0.3700476897
224	0.3700047101
225	0.3698346173
226	0.3697619606
227	0.3695799274
228	0.3694043572
229	0.369264724
230	0.3691197003
231	0.3688523165
232	0.3686772389
233	0.3685004514
234	0.3683598909
235	0.3682833216
236	0.3681336608
237	0.368031211
238	0.3678736963
239	0.3677309621
240	0.3675674482
241	0.3673094544
242	0.367154461
243	0.3670285651
244	0.366849604
245	0.3667252442
246	0.3666512833
247	0.36654637
248	0.3664421234
249	0.366312228
250	0.3661675811
251	0.3659880693
252	0.3657943566
253	0.3655654893
254	0.3654783417
255	0.3652933235
256	0.3652455909
257	0.3651602402
258	0.365004957
259	0.3648389507
260	0.3647353996
261	0.3646369492
262	0.3643424966
263	0.3641395098
264	0.3639158301
265	0.3637111914
266	0.3637019173
267	0.3634228829
268	0.3633115647
269	0.3630749013
270	0.3628918828
271	0.3628039238
272	0.3626413662
273	0.3624412776
274	0.3623046585
275	0.3621031787
276	0.3618964243
277	0.3616103474
278	0.3613816829
