iter	Passed	Remaining
0	126	126078
1	129	64446
2	131	43758
3	133	33192
4	135	26937
5	137	22794
6	140	19889
7	142	17612
8	144	15898
9	146	14530
10	149	13413
11	152	12533
12	154	11743
13	157	11063
14	159	10477
15	161	9960
16	164	9520
17	167	9116
18	169	8751
19	171	8425
20	174	8130
21	177	7884
22	179	7629
23	180	7354
24	182	7132
25	185	6932
26	187	6740
27	189	6571
28	191	6417
29	193	6262
30	195	6117
31	197	5979
32	200	5868
33	202	5747
34	204	5641
35	206	5539
36	209	5443
37	211	5351
38	214	5274
39	216	5205
40	219	5138
41	222	5064
42	224	4991
43	226	4921
44	229	4860
45	231	4795
46	233	4735
47	236	4682
48	238	4630
49	239	4559
50	242	4510
51	244	4460
52	246	4412
53	249	4366
54	251	4319
55	254	4282
56	256	4241
57	258	4204
58	261	4163
59	263	4122
60	265	4083
61	267	4052
62	270	4018
63	272	3982
64	274	3951
65	277	3920
66	279	3894
67	281	3862
68	284	3835
69	287	3820
70	289	3793
71	292	3770
72	294	3741
73	297	3721
74	299	3697
75	302	3673
76	304	3653
77	307	3631
78	309	3608
79	311	3583
80	314	3564
81	316	3546
82	319	3535
83	322	3516
84	325	3499
85	327	3481
86	330	3467
87	333	3455
88	336	3441
89	338	3423
90	341	3406
91	343	3391
92	346	3376
93	349	3364
94	351	3347
95	353	3329
96	356	3317
97	358	3301
98	361	3285
99	363	3269
100	365	3252
101	367	3239
102	370	3226
103	372	3212
104	375	3198
105	377	3185
106	380	3175
107	383	3164
108	385	3153
109	388	3140
110	391	3131
111	394	3128
112	397	3120
113	400	3112
114	402	3100
115	407	3102
116	410	3099
117	413	3091
118	416	3084
119	421	3087
120	424	3086
121	428	3081
122	432	3082
123	436	3082
124	439	3076
125	443	3073
126	446	3066
127	449	3062
128	452	3057
129	456	3051
130	459	3046
131	462	3040
132	465	3031
133	467	3022
134	470	3017
135	474	3012
136	476	3003
137	480	2999
138	483	2995
139	486	2986
140	488	2977
141	491	2967
142	494	2960
143	496	2952
144	499	2945
145	501	2936
146	504	2929
147	509	2931
148	512	2924
149	514	2918
